name,date,notes,year
Saigon Star, Oct 4," Zia R – “bilateral open, compound fractures”",2021
Punahele, Oct 5, Belterra R – “fell – [multiple] fractures”,2021
Golden Lily, Oct 5," Hawthorne T – “collapsed, paddled, and died” (four years old)",2021
Cornstalker, Oct 6, Arapahoe S – “acute 180° colonic torsion with acute colon rupture”,2021
Jessa Louisiana Dash, Oct 6, Sam Houston T – “sesamoid fracture”,2021
Maracaibo, Oct 7, Delaware R – “fell with a catastrophic injury…euthanized”,2021
Made in Karoo, Oct 7, Golden Gate S – “meningoencephalitis with hemorrhage”,2021
Sassy Coyote, Oct 8," Hawthorne S – “hit head – bleeding from nose, mouth, and ears”",2021
Mitch McGuire N, Oct 8," Hoosier R – “comminuted fracture, lacerated tendon”",2021
Dustinthewind, Oct 8," Meadowlands R – “[multiple] fractures, [multiple] torn tendons”",2021
Madrone, Oct 8," Saratoga S – “neurologic disorder, euthanized due to poor prognosis”",2021
Fulmini, Oct 9, Gulfstream R – “collapsed and died on the gallop out” (three years old),2021
Jenna's Lil Agnes, Oct 9, Parx T – “injury”,2021
Kings Beach, Oct 10," Northfield R – “comminuted fracture, tissues shredded”",2021
Graceful Holiday, Oct 11, Indiana R – “[multiple] fractures” (first ever race),2021
She's All I Need (perhaps sic), Oct 11, Remington T – “explosion fracture”,2021
Ghost Dancer, Oct 11," Zia S – “sick three days, found deceased in stall” (two years old)",2021
Incandescent, Oct 12, Parx S – “illness” (coming off first race),2021
Grandpa Munster, Oct 13, Charles Town R – “fatally injured…euthanized on the track”,2021
Majestic Siren, Oct 13, Mountaineer S – “laminitis in feet”,2021
Violent Ways, Oct 14, Delta R (euthanized Oct 15) – “grade 3”,2021
Kakistocracy, Oct 14," Santa Anita T – “went into trot, then collapsed [and died]”",2021
Gabriela's Miracle, Oct 15, Belmont S – “succumbed to pneumonia [after two weeks]”,2021
Infinite Reward, Oct 15, Charles Town R – “collapsed – sudden death” (three years old),2021
Beyond Streetsmart, Oct 15, Hawthorne R – “[multiple] fractures”,2021
Voter Protection, Oct 15," Meadowlands R – “fractures, near complete disarticulation”",2021
On the Dean's List, Oct 15, Saratoga S – “anaphylactic reaction to antibiotics”,2021
Turko, Oct 16, Arapahoe R – “broke down”,2021
Newt, Oct 16," Churchill T – “[multiple] fractures, extensive soft tissue damage”",2021
Favorite Doc, Oct 16, Los Alamitos R – “fell and died suddenly jogging back after race”,2021
Electric Ride, Oct 16, Santa Anita T – “flipped over…died”,2021
Work Out, Oct 17, Belmont R (euthanized Oct 28) – “euthanized in stall due to injuries”,2021
Luca's Ride, Oct 17," Los Alamitos R – “fell, died on impact – complete neck fracture”",2021
Bluegrass On Tap, Oct 18, Delaware T – “pastern fracture”,2021
Sunshine City, Oct 18, Gulfstream T – “deceased” (three years old),2021
Stacks Up, Oct 19," Churchill T – “complete humerus fracture, tearing of muscles”",2021
Rock Ridge, Oct 19, Penn R – “injury”,2021
Night N Red Satin, Oct 19, Zia R – “LF MC3”,2021
Royal Commission, Oct 20," Churchill T – “[multiple] fractures, extensive damage”",2021
Briannas Gift, Oct 20, Delta R – “fell – [broke both front legs]” (second race),2021
Big Hat No Cows, Oct 20, Indiana T – “sesamoid fracture”,2021
Inspired Gem, Oct 20, Penn R – “went bad”,2021
Got Glee, Oct 20, Remington T – “displaced patella”,2021
Okie Twist, Oct 21, Remington R – “[multiple] fractures”,2021
Lord Fairfax, Oct 22, Harrah’s R – “sudden death”,2021
What the Elle, Oct 22," Keeneland R – “fell over fallen foe, [broke] shoulder”",2021
Bellinger, Oct 22, Keeneland R – “fractures [both front legs]”,2021
Sky Queen, Oct 22, Parx S – “illness” (not euthanized – just died),2021
Red Hood, Oct 23, Charles Town T – “[multiple] fractures”,2021
Jimmysextragirl, Oct 23, Charles Town R (euthanized Oct 25) – “carpal fracture”,2021
Hail Michigan, Oct 23, Great Meadow R – “fell…dead by the [time] vet arrived”,2021
New Member, Oct 23," Great Meadow R – “complete, open, displaced fracture”",2021
Kulp, Oct 23, Mahoning T – “pulled up lame – [multiple] fractures RF ankle”,2021
Major Cabbie, Oct 23," Santa Anita R – “[multiple] fractures, [multiple] ruptures”",2021
Onlytimewilltell, Oct 24, Will Rogers T – “[multiple] fractures”,2021
Marmalade Candy, Oct 26, Lone Star S – “found dead” (five years old),2021
Malibu Luna, Oct 27, Belmont S – “suffered a trauma after falling”,2021
Sir Longwood, Oct 27, Charles Town R (euthanized Nov 2) – “[multiple] fractures”,2021
She's Luckyinlove, Oct 27, Delaware R – “broken shoulder”,2021
Advance Notice, Oct 28, Belmont R – “went wrong”,2021
Custom Chasse, Oct 28, Delta R – “fell – acute compound fracture” (second race),2021
Cajun Moon, Oct 28, Hawthorne T – “jockey heard a pop – [multiple] fractures”,2021
Jug Rock, Oct 28, Indiana R – “carpal fracture”,2021
Urban Hope, Oct 28," Keeneland T – “[multiple] fractures, severe soft tissue disruption”",2021
Florida Two Step, Oct 28," Turf T – “[multiple] fractures, avulsion, hemorrhage”",2021
My Proposition, Oct 29," Turf T – “acute, complete humeral fracture”",2021
Hello Dottie, Oct 29, Will Rogers R – “fell – fractured back”,2021
Ms Capo de Etta, Oct 29, Will Rogers R – “stumbled – fracture”,2021
King Creed, Oct 30, Mahoning R (euthanized Oct 31) – “broke shoulder”,2021
Shame On Dixie, Oct 30, Zia T – “sesamoid fracture”,2021
Wicked Amber, Oct 31," Belmont R – “suffered an injury, bobbling heavily”",2021
Star of Africa, Oct 31, Santa Anita T – “sudden death while galloping” (four years old),2021
Engineers Report, Nov 1, Finger Lakes R – “appeared in distress…euthanized on track”,2021
Insane Lifestyle, Nov 1, Hawthorne T – “collapsed on track dead with blood in nostrils”,2021
Brayden'swarrior, Nov 2, Charles Town T – “[multiple] fractures”,2021
All Bodes Well, Nov 3," Churchill R – “flipped in gate – complete, comminuted fracture”",2021
Ceeky, Nov 3," Churchill R – “complete luxation of fetlock, massive damage to tissues”",2021
Set the Tone, Nov 3, Del Mar T – “horse ran into pole”,2021
Magic Butterfly, Nov 3, Evangeline R – “fell after wire – open fracture” (first race),2021
Corner Tap, Nov 3, Indiana T – “sudden death” (two years old),2021
Powerupjustice, Nov 3, Indiana R – “open metacarpal fracture” (after “winning” race),2021
Storm Spun, Nov 3," San Luis Rey T – “complete, displaced fracture; severe laceration”",2021
Burst of Hope, Nov 4, Remington T – “pulled up lame – condylar fracture”,2021
Cozzy's Attitude, Nov 5," Belmont T – “leg injury, euthanized on track”",2021
Parolee, Nov 5," Hawthorne R – “[multiple] fractures, ligament rupture”",2021
El Valiant Hero, Nov 5, Will Rogers R – “open [through the skin] fetlock fracture”,2021
Jack's Ruca, Nov 6," Charles Town R (euth Feb 18, 2022) – “slab fracture”",2021
Vertical Threat, Nov 6," Churchill R – “[two broken legs], myriad spicules embedded”",2021
Racer, Nov 6, Golden Gate S – “died during the night – colonic rupture”,2021
Not Accredited, Nov 6, Hawthorne R (euthanized Nov 8) – “comminuted slab fracture”,2021
The Doctor, Nov 6, Indiana S – “infected coffin bone”,2021
Bella Thyme, Nov 6," Laurel T – “complete, open fracture of cannon; pelvis shattered”",2021
Not On My Watch, Nov 6," Laurel T – “collapsed, appeared to be in distress, died”",2021
Flip the Script, Nov 7, Belmont R – “pulled up lame after the wire…euthanized”,2021
Elucidation, Nov 7, Pennsylvania Hunt Cup R – “fell…succumbed to injuries”,2021
Hes Resilient, Nov 7, Will Rogers R – “fractured back/pelvis”,2021
Behave Virginia, Nov 8," Keeneland T – “complete fracture, [torn] muscles”",2021
Skip, Nov 9, Remington T – “dropped dead training” (three years old),2021
Cats Blame, Nov 9," Turf R – “severe, acute sesamoid fractures”",2021
Doubledown Dreamer, Nov 9, Zia T – “horse fell – [multiple] fractures”,2021
Hutter Mnt. Jake, Nov 10," Charles Town S – “EPM” (two years old, not yet raced)",2021
Ambers Storm, Nov 10, Turf S – “colic”,2021
Loud House, Nov 10, Zia S – “colic death”,2021
Lisas Special Woody, Nov 10, Zia S – “all-night colic”,2021
Electric Guitar, Nov 11, Finger Lakes T – “fractured scapula…[euthanized] on track”,2021
Blazin Fonzarelli, Nov 11, Remington T – “condylar fracture”,2021
Marksman, Nov 11, Tampa Bay S – “respiratory infection/pleuritis”,2021
Caught His Eye, Nov 12, Delta R – “[injured both front legs]”,2021
Even Keeled, Nov 12, Mahoning T – “shattered pastern” (had been raced 55 times),2021
Oakmont Magic, Nov 12, Penn R – “injury”,2021
Ivory Smokin Gun, Nov 12, Will Rogers R – “slab fracture – multiple fragments”,2021
Bust'em Kurt, Nov 13," Laurel R – “dislocated fetlock, [multiple] fractures”",2021
Midhurst, Nov 13," Turfway T – “[multiple] open fractures, rupture of ligament”",2021
Postino's Vow, Nov 14," Belmont T – “injured, euthanized during surgery”",2021
Galloping Slew, Nov 14," Golden Gate T – “catastrophic fracture, hemorrhage, tearing”",2021
Don't Touch My Man, Nov 15, Remington R – “compound ankle fracture”,2021
Desert Ghost, Nov 15," Zia R – “[multiple] comminuted, displaced fractures”",2021
Ima Rumbler, Nov 16," Golden Gate T – “comminuted fracture, ruptured muscles”",2021
Stalking Moon, Nov 16, Indiana T – “sesamoid fracture”,2021
Ekhtibaar, Nov 17, Belmont S – “was found DOA [inside] van”,2021
The Rocker, Nov 17, Northfield R – “fractured tibia”,2021
Sieglinde, Nov 18, Penn S – “injury”,2021
Inimitable, Nov 19," Golden Gate R – “open fractures, ruptures in [both] forelimbs”",2021
Gale Winds, Nov 19," Laurel R – “catastrophic fracture, irreparable bleeding”",2021
Paralyzer, Nov 19, Remington T – “compound ankle fracture”,2021
Kw Sally, Nov 20, Lone Star R – “comminuted carpal fracture”,2021
Dirty Bird, Nov 20, Parx S – “illness” (not euthanized – just died),2021
Estilo Exitoso, Nov 20, Tampa Bay T – “fractured scapula” (two years old),2021
So Enchanting, Nov 21," Belmont T – “leg injury while breezing, euthanized on track”",2021
Mary's Great Hope, Nov 21, Golden Gate T – “catastrophic pelvic fracture”,2021
Cadet Captain, Nov 21," Hawthorne R – “[multiple] fractures, ruptured ligaments”",2021
Moquist, Nov 21," Laurel T – “open [through the skin] fracture, dislocation of fetlock”",2021
Barbwire, Nov 20, San Luis Rey T (euthanized Nov 21) – “complete P1 fracture”,2021
Gator Bite, Nov 21, Tampa Bay T – “[multiple] fractures”,2021
Flash Patriarch, Nov 23, Mahoning S – “found dead – cecal rupture” (three years old),2021
Racehorseinared, Nov 23, Parx R – “injured at quarter pole…euthanized after”,2021
Letmeno, Nov 24, Belmont S – “laminitis post-surgery”,2021
Charlo, Nov 24, Hawthorne S – “severe colic” (three years old),2021
Martini Show, Nov 24, Meadows T – “injury”,2021
Raised Wrong, Nov 25, Charles Town R – “fatally injured…euthanized on the track”,2021
Degrasse, Nov 25, Fair Grounds R – “RH fracture”,2021
Manicomio, Nov 25, Laurel R – “joint affixed to the body by a small piece of skin”,2021
Restiany, Nov 25, Santa Anita T – “ruptures of [multiple] muscles”,2021
Can to Man, Nov 26, Churchill T – “compressive myelopathy of the lumbar cord”,2021
Mora Valley, Nov 26, Hawthorne S – “profuse bloody diarrhea; found dead in stall”,2021
yet-to-be-named 2-year-old, Nov 27, Laurel T – “[two broken legs]”,2021
Mineyerownmalone, Nov 27, Tampa Bay R – “suspensory rupture”,2021
Genetic Gem, Nov 28," Aqueduct R – “injury freezing hind end, euthanized on track”",2021
American Playboy, Nov 28," Laurel R – “open, compound, comminuted fracture”",2021
Conchita, Nov 28, Los Alamitos R – “complete transection of spinal cord”,2021
Not This World, Nov 28, Los Alamitos R (euthanized Dec 1) – “lumbar fracture”,2021
Shark Control, Nov 29, Dayton R – “suddenly broke cannon when asked to accelerate”,2021
K D's Cat Bird, Nov 29," Parx S – “illness” (eight years old, raced five days prior)",2021
Sovereign Immunity, Nov 29," Turfway T – “complete fracture, [torn] muscles”",2021
Juices Boy Wtxrt, Nov 29, Zia R – “compound fracture past wire” (first race),2021
Wicked Indeed, Nov 30," Belmont S – “collapsed [twice], ongoing seizures, euthanized”",2021
Half Cocked, Nov 30," Turf R – “severe, acute avulsion fracture with bone exposure”",2021
Dom's Feisty Girl, Dec 3, Belmont T – “broke down”,2021
California Katie, Dec 3, Fair Grounds R – “sudden death” (three years old),2021
Enigmatica, Dec 3, Parx S – “illness” (not euthanized – just died),2021
Garter and Tie, Dec 5, Gulfstream T – “deceased”,2021
Indian War Paint, Dec 5, Zia R (euthanized Dec 7) – “compound fracture past wire”,2021
Rosey's Peach, Dec 6," Aqueduct S – “injured in stall, found in distress, euthanized”",2021
Medina Spirit, Dec 6, Santa Anita T – “sudden death while working” (three years old),2021
Wasjuannowpaul, Dec 6, Turf S – “stall accident”,2021
Topsill Beach, Dec 7, Meadows R – “sudden death”,2021
Jason Be Good, Dec 8," Keeneland T – “embedded fragments, ligaments/tendons torn”",2021
Big Daddy Buzz, Dec 8, Parx R – “suffered a catastrophic injury near the 3/8 pole”,2021
Noli Temere, Dec 9, Aqueduct R – “broke down”,2021
Flyover State, Dec 9, Charles Town R – “suffered a fatal injury at the 5/16 pole”,2021
San Ruler, Dec 9," Mahoning T (euthanized Jan 1, 2022) – “fractured ankle”",2021
Bahama Breeze, Dec 10, Charles Town R – “collapsed – pulmonary hemorrhage”,2021
Frank Leroy, Dec 10," Delta R – “open, comminuted fracture”",2021
Malibu Mo, Dec 10, Remington T – “fractured ankle”,2021
Hoof Prince, Dec 11," Mahoning R – “[multiple] fractures, euthanized on the track”",2021
Hot Shot, Dec 12, Mountaineer S – “found dead in stall”,2021
R Big G, Dec 12," Tampa Bay T – “compound fracture, disarticulated fetlock”",2021
Naughty Swagger, Dec 14," Turf R – “fractured vertebrae, exposure of spinal cord”",2021
Eliana's Mission, Dec 15," Parx R – “suffered catastrophic injury, fell, euthanized”",2021
Sweet Mary Lou, Dec 16," Aqueduct R – “pulled up, vanned off, later died”",2021
